,UTCtimestamps,timestamp,open,high,low,close,volume,vwap
323,1.46933E+12,2016-07-24 00:00:00-04:00,44.454,47.056,44.2743,46.958,81223020,45.9324
324,1.46994E+12,2016-07-31 00:00:00-04:00,47.1,47.326,44.28,46.006,95953435,45.65406
325,1.47054E+12,2016-08-07 00:00:00-04:00,45.6,46.3075,44.682,45.122,52520720,45.36797
326,1.47115E+12,2016-08-14 00:00:00-04:00,45.204,45.9,44.458,45,47035495,44.9499
327,1.47175E+12,2016-08-21 00:00:00-04:00,44.834,45.698,43.764,43.998,67110350,44.7651
328,1.47236E+12,2016-08-28 00:00:00-04:00,44.03,44.08,39.24,39.556,118160910,41.26679
329,1.47296E+12,2016-09-04 00:00:00-04:00,39.804,41.2994,38.74,38.894,75832165,39.9618
330,1.47357E+12,2016-09-11 00:00:00-04:00,39,41.14,38.69,41.08,78783470,39.73022
331,1.47417E+12,2016-09-18 00:00:00-04:00,41.4,42.036,40.312,41.49,62908100,41.21727
332,1.47478E+12,2016-09-25 00:00:00-04:00,41.3,42.2,39.91,40.806,65846070,41.13003
333,1.47538E+12,2016-10-02 00:00:00-04:00,42.46,43.1338,39.16,39.322,98076635,41.38131
334,1.47599E+12,2016-10-09 00:00:00-04:00,40.27,40.828,39.26,39.302,71853230,39.9929
335,1.47659E+12,2016-10-16 00:00:00-04:00,39.41,41.332,38.4,40.018,126159900,39.76547
336,1.4772E+12,2016-10-23 00:00:00-04:00,40.2,42.74,39.966,39.994,140801510,41.15681
337,1.4778E+12,2016-10-30 00:00:00-04:00,40.498,40.498,37.192,38.112,118616285,38.41226
338,1.4784E+12,2016-11-06 00:00:00-04:00,38.718,39.498,36.084,37.712,130248010,37.69034
339,1.47901E+12,2016-11-13 00:00:00-05:00,37.6,38.6,35.638,37.004,119930370,36.94432
340,1.47962E+12,2016-11-20 00:00:00-05:00,37.008,39.4474,36.742,39.33,86109725,38.0771
341,1.48022E+12,2016-11-27 00:00:00-05:00,39.096,39.87,36,36.294,108421335,37.78798
342,1.48022E+12,2016-11-27 00:00:00-05:00,39.096,39.87,36,36.294,108421335,37.78798
343,1.48083E+12,2016-12-04 00:00:00-05:00,36.502,38.7672,36.502,38.436,94149325,37.78342
344,1.48143E+12,2016-12-11 00:00:00-05:00,38.56,40.6,38.208,40.498,102150715,39.77006
345,1.48204E+12,2016-12-18 00:00:00-05:00,40.498,42.69,39.968,42.668,105831680,41.66838
346,1.48264E+12,2016-12-25 00:00:00-05:00,42.976,44.76,42.336,42.738,91928880,43.43924
347,1.48325E+12,2017-01-01 00:00:00-05:00,42.972,46.062,42.192,45.802,142870565,44.69347
348,1.48385E+12,2017-01-08 00:00:00-05:00,45.794,47.57,45.116,47.55,105867265,46.15725
349,1.48446E+12,2017-01-15 00:00:00-05:00,47.34,49.736,46.874,48.946,101615335,48.32387
350,1.48506E+12,2017-01-22 00:00:00-05:00,49.17,51.692,49.1,50.59,113466045,50.38027
351,1.48567E+12,2017-01-29 00:00:00-05:00,50.506,51.178,49.42,50.266,82812525,50.22362
352,1.48627E+12,2017-02-05 00:00:00-05:00,50.2,54.236,50.126,53.846,115901335,52.69274
353,1.48688E+12,2017-02-12 00:00:00-05:00,54.148,57.478,52.83,54.446,163285780,55.3406
354,1.48748E+12,2017-02-19 00:00:00-05:00,55.09,56.69,50.04,51.4,187592985,53.06861
355,1.48809E+12,2017-02-26 00:00:00-05:00,49.634,50.97,48.402,50.314,143098050,49.63701
356,1.48869E+12,2017-03-05 00:00:00-05:00,49.582,50.778,48.6,48.738,87408420,49.54065
357,1.48929E+12,2017-03-12 00:00:00-05:00,48.964,53.15,48.5562,52.3,147904080,51.54606
358,1.4899E+12,2017-03-19 00:00:00-04:00,52.12,52.96,50.048,52.632,117748215,51.46718
359,1.4905E+12,2017-03-26 00:00:00-04:00,52.12,56.4,51.95,55.66,126688110,55.07367
360,1.49111E+12,2017-04-02 00:00:00-04:00,57.38,60.976,56.916,60.508,210021565,59.55254
361,1.49171E+12,2017-04-09 00:00:00-04:00,61.83,62.746,59.06,60.8,143621755,61.1425
362,1.49232E+12,2017-04-16 00:00:00-04:00,60.54,61.83,59.58,61.12,108657830,60.64294
363,1.49292E+12,2017-04-23 00:00:00-04:00,61.844,62.96,61.172,62.814,122451520,62.08645
364,1.49352E+12,2017-04-30 00:00:00-04:00,62.976,65.532,58.152,61.67,218375310,61.81095
365,1.49413E+12,2017-05-07 00:00:00-04:00,62.18,65.4,61.164,64.962,156500230,63.74311
366,1.49473E+12,2017-05-14 00:00:00-04:00,63.676,64.04,61.062,62.166,144139005,62.6279
367,1.49534E+12,2017-05-21 00:00:00-04:00,62.56,65.098,60.696,65.028,132525680,62.65307
368,1.49594E+12,2017-05-28 00:00:00-04:00,65.2,68.976,65.152,67.97,154722975,67.60798
369,1.49655E+12,2017-06-04 00:00:00-04:00,67.7,75.374,66.842,71.464,267960280,71.79101
370,1.49715E+12,2017-06-11 00:00:00-04:00,71.598,76.85,70.124,74.28,261507255,74.1494
371,1.49776E+12,2017-06-18 00:00:00-04:00,75,77.398,73.56,76.69,164402045,75.39976
372,1.49836E+12,2017-06-25 00:00:00-04:00,77.338,77.39,70.82,72.322,169612600,73.63684
373,1.49897E+12,2017-07-02 00:00:00-04:00,74.048,74.27,61.26,62.644,284267560,65.00366
374,1.49957E+12,2017-07-09 00:00:00-04:00,62.58,66.62,60.626,65.556,249730475,64.36116
375,1.50018E+12,2017-07-16 00:00:00-04:00,65.108,66.33,62.69,65.68,163377200,64.8961
376,1.50078E+12,2017-07-23 00:00:00-04:00,66.048,69.5,65.258,67.014,168149440,67.8205
377,1.50139E+12,2017-07-30 00:00:00-04:00,67.1,71.454,62.244,71.382,263479210,67.09469
378,1.50199E+12,2017-08-06 00:00:00-04:00,71.47,74,70.55,71.574,160625270,72.28929
379,1.5026E+12,2017-08-13 00:00:00-04:00,72.926,73.532,69.16,69.492,107112325,71.68163
380,1.5032E+12,2017-08-20 00:00:00-04:00,69.164,71.332,66.37,69.61,119202685,68.98277
381,1.50381E+12,2017-08-27 00:00:00-04:00,69.456,71.688,67.75,71.08,91864575,69.9755
382,1.50441E+12,2017-09-03 00:00:00-04:00,70.76,71.098,68.312,68.68,77212270,69.56007
383,1.50502E+12,2017-09-10 00:00:00-04:00,70.27,76,70,75.962,152191065,73.45309
384,1.50562E+12,2017-09-17 00:00:00-04:00,76.05,77.922,70.176,70.218,156682630,74.44064
385,1.50623E+12,2017-09-24 00:00:00-04:00,70.63,71.4938,67.08,68.22,156246245,68.89848
386,1.50683E+12,2017-10-01 00:00:00-04:00,68.504,72.0198,66.256,71.376,160311560,69.58626
387,1.50744E+12,2017-10-08 00:00:00-04:00,69.93,71.956,68.534,71.114,132873430,70.43709
388,1.50804E+12,2017-10-15 00:00:00-04:00,70.752,72.6,68.868,69.02,118000715,70.52398
389,1.50864E+12,2017-10-22 00:00:00-04:00,69.976,69.99,63.332,64.174,154126475,66.18812
390,1.50925E+12,2017-10-29 00:00:00-04:00,63.836,66.5218,58.526,61.218,235347255,61.76759
391,1.50985E+12,2017-11-05 00:00:00-04:00,61.4,61.672,59.26,60.598,132725650,60.4938
392,1.51046E+12,2017-11-12 00:00:00-05:00,60.026,65.334,59.822,63.01,193984485,62.70702
393,1.51107E+12,2017-11-19 00:00:00-05:00,62.758,63.646,60.95,63.11,118353120,62.43582
394,1.51167E+12,2017-11-26 00:00:00-05:00,62.65,64,60.246,61.306,134586190,62.15848
395,1.51167E+12,2017-11-26 00:00:00-05:00,62.65,64,60.246,61.306,134586190,62.15848
396,1.51228E+12,2017-12-03 00:00:00-05:00,61.3,63.7268,60,63.026,129597780,61.74197
397,1.51288E+12,2017-12-10 00:00:00-05:00,62.926,69.488,62.75,68.69,177971280,67.31298
398,1.51349E+12,2017-12-17 00:00:00-05:00,68.98,69.346,64.964,65.04,134279830,66.62008
399,1.51409E+12,2017-12-24 00:00:00-05:00,64.766,64.788,61.908,62.27,85920130,62.90927
400,1.5147E+12,2017-12-31 00:00:00-05:00,62.4,65.05,61.136,63.316,117056260,63.08759
401,1.5153E+12,2018-01-07 00:00:00-05:00,63.2,68.962,63.1,67.244,163932675,66.9544
